agent_nr,rate,noise,Self,Other,trial,strategy
5,0.65,0.2,1,1,64,LSWS
5,0.65,0.2,0,1,65,LSWS
5,0.65,0.2,1,1,66,LSWS
5,0.65,0.2,0,1,67,LSWS
5,0.65,0.2,0,1,68,LSWS
5,0.65,0.2,0,1,69,LSWS
5,0.65,0.2,0,0,70,LSWS
5,0.65,0.2,1,1,71,LSWS
5,0.65,0.2,1,1,72,LSWS
5,0.65,0.2,1,0,73,LSWS
5,0.65,0.2,1,0,74,LSWS
5,0.65,0.2,1,0,75,LSWS
5,0.65,0.2,1,1,76,LSWS
5,0.65,0.2,0,0,77,LSWS
5,0.65,0.2,1,1,78,LSWS
5,0.65,0.2,0,0,79,LSWS
5,0.65,0.2,1,1,80,LSWS
5,0.65,0.2,0,0,81,LSWS
5,0.65,0.2,0,1,82,LSWS
5,0.65,0.2,0,0,83,LSWS
5,0.65,0.2,1,0,84,LSWS
5,0.65,0.2,0,1,85,LSWS
5,0.65,0.2,0,1,86,LSWS
5,0.65,0.2,1,1,87,LSWS
5,0.65,0.2,0,0,88,LSWS
5,0.65,0.2,1,0,89,LSWS
5,0.65,0.2,1,1,90,LSWS
5,0.65,0.2,0,1,91,LSWS
5,0.65,0.2,0,0,92,LSWS
5,0.65,0.2,1,1,93,LSWS
5,0.65,0.2,0,1,94,LSWS
5,0.65,0.2,0,1,95,LSWS
5,0.65,0.2,0,1,96,LSWS
5,0.65,0.2,0,1,97,LSWS
5,0.65,0.2,0,0,98,LSWS
5,0.65,0.2,1,1,99,LSWS
5,0.65,0.2,0,1,100,LSWS
5,0.65,0.2,0,1,101,LSWS
5,0.65,0.2,0,1,102,LSWS
5,0.65,0.2,0,1,103,LSWS
5,0.65,0.2,0,1,104,LSWS
5,0.65,0.2,0,1,105,LSWS
5,0.65,0.2,0,1,106,LSWS
5,0.65,0.2,0,0,107,LSWS
5,0.65,0.2,1,0,108,LSWS
5,0.65,0.2,1,0,109,LSWS
5,0.65,0.2,1,1,110,LSWS
5,0.65,0.2,0,1,111,LSWS
5,0.65,0.2,0,0,112,LSWS
5,0.65,0.2,1,0,113,LSWS
5,0.65,0.2,1,1,114,LSWS
5,0.65,0.2,1,1,115,LSWS
5,0.65,0.2,1,0,116,LSWS
5,0.65,0.2,1,0,117,LSWS
5,0.65,0.2,0,1,118,LSWS
5,0.65,0.2,0,0,119,LSWS
5,0.65,0.2,1,1,120,LSWS
6,0.65,0.2,1,0,1,LSWS
6,0.65,0.2,1,0,2,LSWS
6,0.65,0.2,1,1,3,LSWS
6,0.65,0.2,0,1,4,LSWS
6,0.65,0.2,0,1,5,LSWS
6,0.65,0.2,0,0,6,LSWS
6,0.65,0.2,1,1,7,LSWS
6,0.65,0.2,1,0,8,LSWS
6,0.65,0.2,1,1,9,LSWS
6,0.65,0.2,0,0,10,LSWS
6,0.65,0.2,1,1,11,LSWS
6,0.65,0.2,0,0,12,LSWS
6,0.65,0.2,1,1,13,LSWS
6,0.65,0.2,0,1,14,LSWS
6,0.65,0.2,1,1,15,LSWS
6,0.65,0.2,0,1,16,LSWS
6,0.65,0.2,0,0,17,LSWS
6,0.65,0.2,0,0,18,LSWS
6,0.65,0.2,1,0,19,LSWS
6,0.65,0.2,1,0,20,LSWS
6,0.65,0.2,1,1,21,LSWS
6,0.65,0.2,0,1,22,LSWS
6,0.65,0.2,0,1,23,LSWS
6,0.65,0.2,1,1,24,LSWS
6,0.65,0.2,0,1,25,LSWS
6,0.65,0.2,0,0,26,LSWS
6,0.65,0.2,0,0,27,LSWS
6,0.65,0.2,1,0,28,LSWS
6,0.65,0.2,1,1,29,LSWS
6,0.65,0.2,0,0,30,LSWS
6,0.65,0.2,0,1,31,LSWS
6,0.65,0.2,0,1,32,LSWS
6,0.65,0.2,0,0,33,LSWS
6,0.65,0.2,0,1,34,LSWS
6,0.65,0.2,0,1,35,LSWS
6,0.65,0.2,1,0,36,LSWS
6,0.65,0.2,0,1,37,LSWS
6,0.65,0.2,0,0,38,LSWS
6,0.65,0.2,0,0,39,LSWS
6,0.65,0.2,1,1,40,LSWS
6,0.65,0.2,0,1,41,LSWS
6,0.65,0.2,0,0,42,LSWS
6,0.65,0.2,0,1,43,LSWS
6,0.65,0.2,0,1,44,LSWS
6,0.65,0.2,0,1,45,LSWS
6,0.65,0.2,0,1,46,LSWS
6,0.65,0.2,0,1,47,LSWS
6,0.65,0.2,0,1,48,LSWS
6,0.65,0.2,0,0,49,LSWS
6,0.65,0.2,1,1,50,LSWS
6,0.65,0.2,0,0,51,LSWS
6,0.65,0.2,1,1,52,LSWS
6,0.65,0.2,0,1,53,LSWS
6,0.65,0.2,0,0,54,LSWS
6,0.65,0.2,1,0,55,LSWS
6,0.65,0.2,1,1,56,LSWS
6,0.65,0.2,0,1,57,LSWS
6,0.65,0.2,0,1,58,LSWS
